-33.1179064357687, -70.83596860471334
-33.11797207592736, -70.83596883197477
-33.11802640178918, -70.83597193831339
-33.11808397023708, -70.83597647146522
-33.11814481377145, -70.83597520814307
-33.118202967015826, -70.83597518629611
-33.11825887548447, -70.83597809686246
-33.11832159961457, -70.83597849360623
-33.11837768355856, -70.83597889260642
-33.11843637043812, -70.83597643731785
-33.11849764736606, -70.83597692772334
-33.11856171937567, -70.83597144163528
-33.11862013452998, -70.83596899857919
-33.11868132844134, -70.83596099982209
-33.118756410416346, -70.83595583876006
-33.11881482944507, -70.83595058744692
-33.11887315593341, -70.83594527218143
-33.1189315786378, -70.83593993062401
-33.11898990061033, -70.8359320177914
-33.118965121553906, -70.8358669343812
-33.11890679111441, -70.83586959197314
-33.11885133708634, -70.83586648684677
-33.11879300986847, -70.83586621646944
-33.11873746110905, -70.83586313827956
-33.118679040112745, -70.83586292492973
-33.1186169260478, -70.83585977078523
-33.11856082387188, -70.83585964598377
-33.11849936260645, -70.83585654137215
-33.11844356021384, -70.83585606963118
-33.11838227558762, -70.83585315638145
-33.11832664503543, -70.83585290859935
-33.118268237421525, -70.8358526606926
-33.11820704874481, -70.8358496947931
-33.11814864452052, -70.8358494166897
-33.118093107374776, -70.83584636932953
-33.11803470017215, -70.8358461510476
-33.11797638773375, -70.83584307377971
-33.117918069027624, -70.83584008634737
-33.11789797439066, -70.83577830236365
-33.11791463132242, -70.83571731089829
-33.117975821869535, -70.83571741056973
-33.11803414561397, -70.83571753025878
-33.11809247415089, -70.83572036790045
-33.118150880403014, -70.83572055720235
-33.11822996079444, -70.83572361000088
-33.11828874017635, -70.83572349275744
-33.1183501018779, -70.83572655802051
-33.11841120896543, -70.83572664807902
-33.118466769881245, -70.83572930587148
-33.118525101872535, -70.83572933591672
-33.118583337552685, -70.83572954033515
-33.118641576909575, -70.83573243230812
-33.118702589283025, -70.83573263628949
-33.118760916721975, -70.83573553409524
-33.11881647964085, -70.83573538414788
-33.118877491449226, -70.83573836568368
-33.11893306217323, -70.83573806578157
-33.11899139246992, -70.83574090358704
-33.119052402463595, -70.83574113713337
-33.11910795801652, -70.83574391494905
-33.119166283543365, -70.83574406494355
-33.11922459814163, -70.83574720265233
-33.119282843359315, -70.83574716601672
-33.11934117668991, -70.83574994383463
-33.11939951162696, -70.8357499138872
-33.11945784335384, -70.8357499439152
-33.11951061311044, -70.83573898277992
-33.1195162088304, -70.83566045531715
-33.119471677270354, -70.8356215296125
-33.11940501390207, -70.83562424737589
-33.119349463296395, -70.83562137960742
-33.11929113986026, -70.8356184218843
-33.119235592551405, -70.83561827192517
-33.11917431182955, -70.83561869613249
-33.11911597676285, -70.83561872769269
-33.119057641696116, -70.83561875925285
