name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-70.79842964554999,-33.110049066900004","-70.7984481794,-33.1103104145","-70.7984217721,-33.1103107957","-70.7984111118,-33.1097877193","-70.7984375189,-33.1097873381",180.97801624681642,0.002459916501777417
2,"-70.79836622545,-33.110049982325","-70.798374099,-33.1097882535","-70.7983847591,-33.11031133","-70.7983583518,-33.1103117111","-70.7983476919,-33.1097886347",180.977973465358,0.0024599163797018988
3,"-70.7984188934,-33.109521482575","-70.798437427,-33.1097828302","-70.7984110199,-33.1097832114","-70.7984003599,-33.1092601349","-70.7984267668,-33.1092597538",180.97799431787155,0.0024599125476658865
4,"-70.798355473675,-33.109522398","-70.7983633473,-33.1092606692","-70.7983740071,-33.1097837457","-70.7983476,-33.1097841268","-70.7983369403,-33.1092610503",180.97795611101756,0.0024599170820023644
5,"-70.79840759035,-33.108966850925","-70.7984261237,-33.1092281986","-70.7983997168,-33.1092285798","-70.7983890571,-33.1087055032","-70.7984154638,-33.1087051221",180.9779728274545,0.002459909445961788
6,"-70.79834417102501,-33.108967766325","-70.7983520447,-33.1087060375","-70.7983627042,-33.109229114","-70.7983362973,-33.1092294952","-70.7983256379,-33.1087064186",180.97793494449417,0.0024599140767677784
7,"-70.7983968388,-33.1084392665","-70.798415372,-33.1087006142","-70.7983889652,-33.1087009954","-70.7983783057,-33.1081779188","-70.7984047123,-33.1081775376",180.97796050867677,0.002459914995450121
8,"-70.79833341987501,-33.10844018185","-70.7983412936,-33.108178453","-70.7983519528,-33.1087015296","-70.7983255461,-33.1087019107","-70.798314887,-33.1081788341",180.97791301484995,0.0024599101224832024
9,"-70.7985564857,-33.110047236","-70.7985750199,-33.1103085836","-70.7985486126,-33.1103089648","-70.7985379516,-33.1097858884","-70.7985643587,-33.1097855072",180.97808035852668,0.0024599165530116212
10,"-70.798493065625,-33.110048151475","-70.7985009388,-33.1097864227","-70.7985115996,-33.1103094991","-70.7984851924,-33.1103098803","-70.7984745317,-33.1097868038",180.97804215781542,0.0024599117759227197
