name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
32,"-70.8203104474,-33.1218398238","-70.8203182551,-33.1215780963","-70.8203290501,-33.1221011654","-70.8203026396,-33.1221015513","-70.8202918448,-33.1215784822",180.99022797593386,0.002459893443317632
33,"-70.82036298705,-33.121311320025","-70.8203815897,-33.1215726616","-70.8203551794,-33.1215730476","-70.8203443845,-33.1210499784","-70.8203707946,-33.1210495925",180.99024911693584,0.002459889716712089
34,"-70.82029955965001,-33.121312246875","-70.8203073674,-33.1210505193","-70.8203181621,-33.1215735885","-70.8202917518,-33.1215739744","-70.8202809573,-33.1210509053",180.99020658765366,0.002459889690758577
35,"-70.8205230678,-33.1229192436","-70.8205416715,-33.1231805851","-70.8205152607,-33.1231809711","-70.8205044642,-33.1226579021","-70.8205308748,-33.1226575161",180.99037801007023,0.00245989134293459
36,"-70.82045963920001,-33.1229201706","-70.8204674464,-33.1226584431","-70.8204782427,-33.1231815121","-70.8204518319,-33.1231818981","-70.8204410358,-33.1226588291",180.99033548147594,0.0024598913176367056
37,"-70.820257907325,-33.1223683276","-70.82027651,-33.1226296692","-70.8202500994,-33.1226300551","-70.8202393047,-33.122106986","-70.8202657152,-33.1221066001",180.9902141959485,0.0024598926101399793
38,"-70.820194479175,-33.1223692544","-70.8202022872,-33.1221075269","-70.8202130817,-33.122630596","-70.8201866711,-33.1226309819","-70.8201758767,-33.1221079128",180.99018082262393,0.0024598925841866283
39,"-70.82024701962499,-33.121840750699995","-70.8202656221,-33.1221020923","-70.8202392117,-33.1221024782","-70.8202284172,-33.1215794091","-70.8202548275,-33.1215790232",180.99020182544916,0.002459888760993811
40,"-70.820183591825,-33.1218416775","-70.8201913999,-33.12157995","-70.8202021941,-33.1221030191","-70.8201757837,-33.122103405","-70.8201649896,-33.1215803359",180.99015929826714,0.002459888735695735
41,"-70.82023613222499,-33.121313173725","-70.8202547345,-33.1215745153","-70.8202283242,-33.1215749013","-70.82021753,-33.1210518321","-70.8202439402,-33.1210514462",180.99018043068907,0.0024598943205670245
42,"-70.8201727048,-33.121314100525","-70.8201805129,-33.121052373","-70.8201913069,-33.1215754421","-70.8201648966,-33.1215758281","-70.8201541028,-33.1210527589",180.9901424841302,0.002459889638183969
43,"-70.82039621065,-33.12292109755","-70.820414814,-33.1231824391","-70.8203884032,-33.123182825","-70.8203776074,-33.122659756","-70.820404018,-33.1226593701",180.99031344390633,0.002459891097682596
44,"-70.82033278207498,-33.12292202445","-70.8203405897,-33.122660297","-70.8203513852,-33.123183366","-70.8203249744,-33.1231837519","-70.820314179,-33.1226606829",180.99026633580627,0.0024598957274028976
45,"-70.820131050975,-33.122370181200004","-70.8201496533,-33.1226315228","-70.8201232427,-33.1226319087","-70.8201124487,-33.1221088396","-70.8201388592,-33.1221084537",180.99015009225846,0.0024598925582401676
46,"-70.820067622775,-33.122371107999996","-70.8200754312,-33.1221093805","-70.8200862249,-33.1226324496","-70.8200598143,-33.1226328355","-70.8200490207,-33.1221097664",180.9901075637451,0.0024598925322868153
47,"-70.82012016405,-33.121842604250006","-70.8201387662,-33.1221039459","-70.8201123557,-33.1221043318","-70.820101562,-33.1215812626","-70.8201279723,-33.1215808767",180.99013295246866,0.0024598933647961116
48,"-70.82005673625,-33.121843531025","-70.8200645447,-33.1215818035","-70.8200753382,-33.1221048727","-70.8200489277,-33.1221052585","-70.8200381344,-33.1215821894",180.99009028729452,0.002459893242532857
49,"-70.82010927740001,-33.121315027250006","-70.8201278793,-33.1215763689","-70.820101469,-33.1215767548","-70.8200906756,-33.1210536856","-70.8201170857,-33.1210532997",180.99011142547226,0.002459889516565907
50,"-70.820045849975,-33.121315954025","-70.8200536585,-33.1210542265","-70.8200644517,-33.1215772957","-70.8200380414,-33.1215776816","-70.8200272483,-33.1210546123",180.99007314773462,0.002459894049403796
51,"-70.8202693535,-33.12292295135","-70.8202879564,-33.1231842929","-70.8202615457,-33.1231846788","-70.8202507506,-33.1226616098","-70.8202771613,-33.1226612239",180.99024018618283,0.0024598910451353686
52,"-70.820205924925,-33.1229238782","-70.8202137329,-33.1226621507","-70.8202245277,-33.1231852198","-70.8201981169,-33.1231856057","-70.8201873222,-33.1226625366",180.9902020439227,0.0024598956754908322
53,"-70.82015338387501,-33.12345238185","-70.8201719867,-33.1237137234","-70.8201455757,-33.1237141093","-70.8201347812,-33.1231910403","-70.8201611919,-33.1231906544",180.9901930329591,0.002459890186518442
54,"-70.820089954925,-33.123453308674996","-70.8200977632,-33.1231915812","-70.8201085575,-33.1237146502","-70.8200821466,-33.1237150362","-70.8200713524,-33.1231919671",180.9901506416059,0.0024598902569207422
55,"-70.8200041946,-33.122372034725004","-70.8200227966,-33.1226333764","-70.8199963859,-33.1226337622","-70.8199855927,-33.1221106931","-70.8200120032,-33.1221103072",180.99008108124806,0.002459897065696114
56,"-70.81994076642499,-33.122372961425","-70.8199485752,-33.1221112339","-70.8199593682,-33.1226343031","-70.8199329576,-33.1226346889","-70.8199221647,-33.1221116198",180.99004313483871,0.0024598923834120677
57,"-70.81999330845,-33.12184445775","-70.8200119102,-33.1221057994","-70.8199854997,-33.1221061853","-70.8199747068,-33.1215831161","-70.8200011171,-33.1215827302",180.9900596920678,0.00245989331354795
58,"-70.81992988062501,-33.121845384425","-70.8199376895,-33.1215836569","-70.8199484822,-33.1221067261","-70.8199220717,-33.122107112","-70.8199112791,-33.1215840427",180.9900214147023,0.0024598978457054427
59,"-70.81998242252499,-33.121316880725","-70.8200010241,-33.1215782224","-70.8199746137,-33.1215786083","-70.8199638211,-33.121055539","-70.8199902312,-33.1210551532",180.99004241425948,0.0024598940221029547
60,"-70.819918995075,-33.121317807375","-70.819926804,-33.1210560798","-70.8199375964,-33.1215791491","-70.8199111861,-33.1215795349","-70.8199003938,-33.1210564657",180.9899998873542,0.0024598939968443244
61,"-70.82014249635,-33.122924805","-70.8201610989,-33.1231861466","-70.8201346881,-33.1231865325","-70.8201238939,-33.1226634634","-70.8201503045,-33.1226630775",180.99016673836576,0.0024598909938669524
62,"-70.82007906780001,-33.122925731799995","-70.8200868761,-33.1226640043","-70.8200976702,-33.1231870734","-70.8200712594,-33.1231874593","-70.8200604655,-33.1226643902",180.99013336482818,0.0024598909679130676
63,"-70.82002652595,-33.12345423545","-70.8200451284,-33.123715577","-70.8200187174,-33.1237159629","-70.8200079236,-33.1231928939","-70.8200343344,-33.123192508",180.99012434775105,0.0024598947895899262
64,"-70.81996309697499,-33.1234551622","-70.8199709056,-33.1231934347","-70.8199816992,-33.1237165038","-70.8199552883,-33.1237168897","-70.8199444948,-33.1231938206",180.99008621236322,0.002459890108684374
65,"-70.819877338225,-33.1223738881","-70.8198959398,-33.1226352298","-70.8198695292,-33.1226356156","-70.8198587367,-33.1221125464","-70.8198851472,-33.1221121606",180.99001207745533,0.0024598922604894802
66,"-70.819813910025,-33.12237481475","-70.8198217192,-33.1221130872","-70.8198325114,-33.1226361564","-70.8198061008,-33.1226365423","-70.8197953087,-33.1221134731",180.98997001317142,0.002459892428486
67,"-70.8198664528,-33.121846311075004","-70.8198850542,-33.1221076528","-70.8198586437,-33.1221080386","-70.8198478515,-33.1215849694","-70.8198742618,-33.1215845835",180.98999526242036,0.0024598931640156356
68,"-70.819803025,-33.121847237699996","-70.8198108342,-33.1215855102","-70.8198216262,-33.1221085794","-70.8197952157,-33.1221089652","-70.8197844239,-33.121585896",180.98995259866496,0.0024598930411016996
69,"-70.819855567675,-33.121318734025","-70.8198741688,-33.1215800757","-70.8198477585,-33.1215804616","-70.8198369666,-33.1210573923","-70.8198633768,-33.1210570065",180.98996915580278,0.002459893970889516
70,"-70.819792140225,-33.121319660625","-70.8197999495,-33.1210579331","-70.8198107412,-33.1215810023","-70.8197843309,-33.1215813882","-70.8197735393,-33.1210583189",180.98993578387498,0.002459893944288067
71,"-70.8200156392,-33.122926658599994","-70.8200342414,-33.1231880002","-70.8200078306,-33.1231883861","-70.8199970371,-33.122665317","-70.8200234477,-33.1226649311",180.9901026350476,0.0024598909412906953
72,"-70.81995221060001,-33.122927585300005","-70.8199600193,-33.1226658578","-70.8199708126,-33.1231889269","-70.8199444018,-33.1231893128","-70.8199336087,-33.1226662437",180.99006010813548,0.0024598909160080964
73,"-70.81989966799999,-33.12345608890001","-70.8199182701,-33.1237174305","-70.8198918591,-33.1237178164","-70.819881066,-33.1231947473","-70.8199074768,-33.1231943614",180.99006005651415,0.00245989473834682
74,"-70.81983623904999,-33.123457015599996","-70.8198440481,-33.1231952881","-70.8198548409,-33.1237183572","-70.8198284299,-33.1237187431","-70.8198176373,-33.123195674",180.99000837508908,0.0024598947117404654
75,"-70.819750481825,-33.122375741375","-70.819769083,-33.1226370831","-70.8197426724,-33.1226374689","-70.8197318807,-33.1221143997","-70.8197582912,-33.1221140138",180.98993895484443,0.0024598923055646005
76,"-70.81968705365,-33.122376667925","-70.8196948632,-33.1221149404","-70.8197056547,-33.1226380096","-70.819679244,-33.1226383955","-70.8196684527,-33.1221153262",180.98990100379478,0.00245989693528973
77,"-70.81973959717502,-33.121848164300005","-70.8197581982,-33.122109506","-70.8197317877,-33.1221098918","-70.8197209962,-33.1215868226","-70.8197474066,-33.1215864368",180.98992644050594,0.0024598976715503444
78,"-70.81967616935,-33.121849090850006","-70.8196839789,-33.1215873633","-70.8196947702,-33.1221104326","-70.8196683597,-33.1221108184","-70.8196575686,-33.1215877491",180.9898883066773,0.0024598929898702196
